@relation training_data

@attribute poste {'Développeur PHP full stack Senior ','Développeur full stack confirmé -MON- ','Ingénieur Développement Senior full stack Java/ J2EE ','Développeur full stack ','Développeur full stack Java/JEE Confirmé ','Ingénieur Etudes et Développement fullstack .NET / Angular Senior ','Ingénieur Etudes Et Développement Java full stack (H/F) ','Développeur fullstack / Scrum master ','Développeur full stack Java/Angular Confirmé ','Développeur PHP full stack Sénior ','Concepteur Développeur fullstack ','Ingénieur full stack Angular / NodeJS ','Concepteur Développeur fullstack (Java/Angular) ','Ingénieur d Etudes et Développement full stack Java/JEE confirmé (H/F) ','Développeur full-stack ','Développeur fullstack (Java/Angular) ','Développeur full stack Confirmé ','Ingénieur full stack Java/Angular (Secteur Bancaire) - Freelance ','Senior fullstack developer ','Consultant sap FICO - Freelance ','Consultant OTC - sap.HANA.SCM.SD - Freelance ','Lead sap ( PP / QM/S4HANA ) ','Consultant Sage avec Evolution vers poste sap ou Microsoft ','SENIOR CONSULTANT FONCTIONNEL OU TECHNIQUE sap TOUS DOMAINES ','Chef de Projet sap Business One ','sap HANA OTC LEAD ','data Scientist ','Développer Big data SCALA/JAVA (H/F) ','data Engineer (H/F) ','data Scientist (H/F) ','Développeur Master data Management ','Ingénieur data Senior ','Développeur Big data ','Bigdata Developer ( Scala/Java) ','Développeur PHP Full Stack Senior ','Analyste Programmeur .Net ','Concepteur Développeur Symfony (H/F) ','Expert Technique PHP Natif (H/F) ','Ingénieur Concepteur Développeur PHP NATIF (H/F) ','Concepteur Développeur Magento (H/F) ','Ingénieur Concepteur Développeur Drupal ','Expert Technique Drupal ','Développer Big Data SCALA/JAVA (H/F) ','Expert Technique Front End (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/ VUE.JS (H/F) ','Concepteur Développeur NodeJs(H/F) ','Ingénieur Concepteur Développeur JavaScript/Angular (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS ','Ingénieurs Etude et Développement JAVA EE Senior ','Développeur Web (Drupal) (F/H) ','Développeur .NET Confirmé (H/F) ','Développeur Full Stack Java/JEE Confirmé ','Ingénieur Développement PHP ','Ingénieur Etudes Et Développement Java Full Stack (H/F) ','Développeur Full Stack Java/Angular Confirmé ','Développeur PHP Full Stack Sénior ','Chef de projet monétique Senior -MON- ','Tech Lead DotNet ','Développeur Senior DotNet ','Ingénieur Full Stack Angular / NodeJS ','Formateur en développement Web ','Expert Technique .Net/Angular ( Oujda ) (H/F) ','Expert Technique Drupal ( Oujda ) ','INGÉNIEUR CONCEPTEUR DÉVELOPPEUR PHP (OUJDA) (H/F) ','Développeur Intégrateur Front-End ','Ingénieur Etudes Et Développement PHP Confirmé (H/F) ','Ingénieur Etudes Et Développement MOBILE HYBRIDE (H/F) ','Web Master (H/F) ','Ingénieurs Etude et Développement JAVA EE ','Consultant ITSM - Jira (H/F) ','Chargé de développement CRM ','Développeur/Intégrateur WordPress ','Business Analyst Marketing (English Speaker) ','Développeur Full Stack Confirmé ','Développeur Service Now ','Ingénieur Développeur Sharepoint (Confirmé) ','Spécialiste Network ','Chef de projet PL/SQL -MON- ','Chef de projet AMOA (H/F) ','Consultants expérimentés SIRH ','Conseillers Commerciaux avec Prime Déplafonnée! (Secteur des Télécoms) ','Administrateur Système H/F ','Développeur Java Angular ','Concepteur développeur ESB ','Ingénieur deVOPS ','Développeur Master Data Management ','Chargé(e) de développement RH (Senior) ','Bilingual Customer Support Representative (SPANISH/ENGLISH) ','Conseillers clients FRANCOPHONES EXPÉRIMENTÉS pour un leader mondial de la cosmétique de luxe ','SITEL Rabat is hiring !! English customer representative for a medical project ','Workplace Administrator ','Ingénieur développeur .Net Angular Confirmé ','Contrôleur de Gestion (Senior) - Profil Ingénieur ','Business Analyst ','Ingénieur Data Senior ','Conseillers Commerciaux avec prime déplafonnée ! ','Commerciaux avec Prime Déplafonnée! ','Conseillers Commerciaux à Rabat avec Prime Déplafonnée ','Chargé de clientèle Franco-Anglophone Opérateur Télécom Canadien (H/F) ','Consultant React Native - Freelance ','Coordinateur Développement RH ','Scrum Master Senior ','Directeur Informatique Technique senior SSII (Business Unit Finance)- CTO - Secteur bancaire/édition de logiciels - delivery ','Ingénieur et Intégrateur support Applicatif ','Ingénieur devops Confirmé ','Ingénieur Réseau et Sécurité ','Ingénieur Réseau et Sécurité Senior ','Consultant technique HRaccess ','Ingénieur devOps ','TECHNICIEN PREPARATEUR QUALITE MESURE ','Ingénieur Etudes Et Développement MOBILE HYBRIde (H/F) ','ingénieur devops ','ingénieur devops Senior ','ingénieur infrastructure devops/Docker ','ingénieur OPS – devops confirmé ','ingénieur OPS – devops (H/F) ','ingénieur devops Confirmé ','ingénieur Logiciel devops ( H/F) ','manager d’Activité - Services Financiers ','Contact Center Bilingual Team manager (ENG/FR) ','WorkPlace Specialist ','Team manager (Anglophone) ','manager d’Activité ','Ingénieur Test Automatisation (H/F) ','Ingénieur infrastructure Devops/Docker ','Chargé de Recrutement (H/F) ','Domain manager ','Administrateur Infrastructure ','Chef de Projet Solutions Voix ','Expert Technique PHP ','Acheteur ','Team Leader Senior Ventes B2B ','Brand manager H/F ','Bilingual Call Center Team manager (ENG/FR) ','Social Media manager ','Ingénieur d’étude Génie électrique ','Category manager (CATMAN) ','Senior English-speaking Auditor (H/F) ','Senior Professional product Test -TEC - ','Professional product Test -TEC - ','Contract Administrator ','Product manager - Secteur IT ','Business Developement manager - Secteur IT ','Développeur .NET Senior (H/F) ','Développeur Angular  .NET Core  ASP.NET ','Ingénieur Développeur Dot Net (H/F) ','Ingénieur développeur .NET Angular Confirmé ','Développeur .NET Angular Js ','Développeur Dot Net ','Concepteur/Développeur Back-end  .NET (C# 6.0) ','Ingénieur développeur .NET Angular Senior ','Développeurs .NET Confirmés ','Ingénieur Développement Senior Full Stack Java/ J2EE ','Graphic Designer (H/F) ','Concepteur Rédacteur (H/F) ','Agente Back Office Italofono (M/F) ','Senior Developer Android/ios (H/F) ','Architecte technique ','Infographiste Junior ','Consultant RH (H/F) ','Développeur Full stack confirmé -MON- ','Consultant Technico-Fonctionnel ','Consultant HR Access ','Consultant SAP FICO - Freelance ','Consultant OTC - SAP.HANA.SCM.SD - Freelance ','Consultant MSBI ','Consultant DBA Sybase IQ - Freelance ','Superviseur Electrique - Rabat ','Superviseur Fluide -Rabat ','RESPONSABLE DES MOYENS GENERAUX ','Chef de projet Réseaux et Télécoms ','Administrateur Bases de données ','INGENIEUR cyber IT GOUVERNANCE (H/F) ','Ingénieurs Déploiement Réseaux et sécurité N2 ','Technicien IT - Meknes ','Technicien IT - Casablanca ','Business Line Manager ','Chargé(e) de coordination Pôle Sport ','Développeur orienté objet -TEC - ','Développeur VBA ','Développeur Front-End ','developpeur Reactjs ','developpeur Node JS ','Développeur Angular  .Net Core  ASP.Net ','Ingénieur Développeur Java/JEE ','Ingénieur développeur JAVA / Angular -MON- ','Concepteur développeur JAVA JEE ','Développeur ','Ingénieur Développeur C -MON- ','Développeur Big Data ','Développeur Fullstack / Scrum master '}
@attribute jee {false,true}
@attribute sap {false,true}
@attribute html5 {true,false}
@attribute python {false,true}
@attribute css3 {true,false}
@attribute javascript {true,false}
@attribute 'react ' {false,true}
@attribute jquery {true,false}
@attribute angular {true,false}
@attribute linux {false,true}
@attribute php {true,false}
@attribute html {true,false}
@attribute sql {true,false}
@attribute c++ {false,true}
@attribute c# {false,true}
@attribute css {true,false}
@attribute vue {false,true}
@attribute docker {false,true}
@attribute git {false,true}
@attribute rest {false,true}
@attribute boostrap {false}
@attribute .net {false,true}
@attribute js {false,true}
@attribute domaine {developement,'full stack',DOTNET,consultant,SAP,'chef de projet','DATA ANALYSTE','expert technique','developpeur web',autre,DEVOPS,securite,'traffic manager'}

@data
'RESPONSABLE DES MOYENS GENERAUX ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,autre
'Chef de projet Réseaux et Télécoms ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,'chef de projet'
'Administrateur Bases de données ',false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,autre
'INGENIEUR cyber IT GOUVERNANCE (H/F) ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,autre
'Ingénieurs Déploiement Réseaux et sécurité N2 ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,securite
'Technicien IT - Meknes ',false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,autre
'Technicien IT - Casablanca ',false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,autre
'Business Line Manager ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,'traffic manager'
'Chargé(e) de coordination Pôle Sport ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,autre
'Développeur orienté objet -TEC - ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,developement
'Développeur VBA ',false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,developement
'Développeur VBA ',false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,developement
'Développeur PHP Full Stack Senior ',false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,developement
'Développeur PHP Full Stack Senior ',false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,developement
'Développeur Front-End ',false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,developement
'Développeur Full stack confirmé -MON- ',false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,'full stack'
'Développeur .NET Senior (H/F) ',false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,DOTNET
'developpeur Reactjs ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,developement
'developpeur Node JS ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,developement
'Développeur Angular  .Net Core  ASP.Net ',false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,DOTNET
'Concepteur Développeur Symfony (H/F) ',false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,developement
'Ingénieur Concepteur Développeur PHP NATIF (H/F) ',false,false,true,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,developement
'Concepteur Développeur Magento (H/F) ',false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,developement
'Ingénieur Concepteur Développeur Drupal ',false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,true,developement
'Ingénieur Développeur Dot Net (H/F) ',false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,developement
'Ingénieur Développeur Java/JEE ',true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,developement
'Ingénieur Concepteur Développeur JAVASCRIPT/ VUE.JS (H/F) ',false,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,true,developement
'Concepteur Développeur NodeJs(H/F) ',false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,false,true,developement
'Ingénieur Concepteur Développeur JavaScript/Angular (H/F) ',false,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,true,developement
'Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS ',false,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,true,developement
'Ingénieur développeur JAVA / Angular -MON- ',false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,developement
'Développeur full stack ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,'full stack'
'Développeur Java Angular ',false,false,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,true,true,false,false,false,false,developement
'Concepteur développeur JAVA JEE ',false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,developement
'Concepteur développeur ESB ',false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,developement
'Développeur Master Data Management ',false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,'DATA ANALYSTE'
'Développeur ',false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,developement
'Développeur .NET Confirmé (H/F) ',false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,DOTNET
'Ingénieur développeur .Net Angular Confirmé ',false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true,DOTNET
'Ingénieur Développeur C -MON- ',false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,developement
'Développeur Full Stack Java/JEE Confirmé ',true,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,developement
'Développeur Big Data ',false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,'DATA ANALYSTE'
'Développeur Fullstack / Scrum master ',false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,'full stack'
'Développeur Full Stack Java/Angular Confirmé ',true,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,developement
'Développeur PHP Full Stack Sénior ',false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,developement
